12.5 9.00268e-10 0.000805262 0.010194 8.67996e-10 0.000802468 0.0100064
12.6 7.49166e-10 0.000754539 0.0102406 7.22071e-10 0.000751887 0.0100539
12.7 6.23347e-10 0.000706797 0.0102776 6.00603e-10 0.00070428 0.010092
12.8 5.18594e-10 0.000661877 0.010305 4.99507e-10 0.00065949 0.0101207
12.9 4.31392e-10 0.00061963 0.010323 4.15376e-10 0.000617367 0.0101404
13 3.5881e-10 0.000579913 0.010332 3.45374e-10 0.000577768 0.0101511
13.1 2.98405e-10 0.000542587 0.010332 2.87136e-10 0.000540556 0.0101531
13.2 2.4814e-10 0.000507522 0.0103234 2.3869e-10 0.0005056 0.0101468
13.3 2.06318e-10 0.000474593 0.0103064 1.98395e-10 0.000472774 0.0101322
13.4 1.71525e-10 0.000443681 0.0102813 1.64884e-10 0.00044196 0.0101097
13.5 1.42584e-10 0.000414672 0.0102483 1.37018e-10 0.000413045 0.0100795
13.6 1.18513e-10 0.000387459 0.0102078 1.13849e-10 0.000385921 0.0100419
13.7 9.84953e-11 0.000361938 0.0101599 9.45872e-11 0.000360486 0.00999717
13.8 8.18499e-11 0.000338013 0.010105 7.85761e-11 0.000336642 0.00994558
13.9 6.80103e-11 0.000315592 0.0100434 6.52684e-11 0.000314297 0.00988742
14 5.65049e-11 0.000294585 0.00997532 5.42089e-11 0.000293363 0.00982296
14.1 4.69411e-11 0.00027491 0.00990113 4.50188e-11 0.000273758 0.00975251
14.2 3.89922e-11 0.000256488 0.0098211 3.73829e-11 0.000255402 0.00967633
14.3 3.2386e-11 0.000239245 0.00973552 3.10392e-11 0.000238222 0.00959472
14.4 2.68965e-11 0.00022311 0.00964469 2.57694e-11 0.000222146 0.00950797
14.5 2.23353e-11 0.000208016 0.00954889 2.13922e-11 0.000207108 0.00941635
14.6 1.85459e-11 0.0001939 0.00944842 1.77569e-11 0.000193044 0.00932014
14.7 1.53979e-11 0.000180702 0.00934356 1.47379e-11 0.000179897 0.00921964
14.8 1.27831e-11 0.000168366 0.0092346 1.22311e-11 0.000167608 0.0091151
14.9 1.06113e-11 0.000156838 0.00912181 1.01498e-11 0.000156126 0.00900681
15 8.80775e-12 0.000146069 0.00900547 8.42186e-12 0.000145399 0.00889502
15.1 7.31007e-12 0.000136011 0.00888585 6.98748e-12 0.000135382 0.00878001
15.2 6.06653e-12 0.00012662 0.00876321 5.79689e-12 0.000126029 0.00866202
15.3 5.03409e-12 0.000117854 0.0086378 4.80874e-12 0.000117298 0.0085413
15.4 4.177e-12 0.000109672 0.00850989 3.9887e-12 0.000109151 0.00841811
15.5 3.46555e-12 0.000102039 0.00837972 3.30822e-12 0.000101549 0.00829268
15.6 2.87503e-12 9.49187e-05 0.00824752 2.7436e-12 9.44589e-05 0.00816524
15.7 2.38494e-12 8.82784e-05 0.00811352 2.27516e-12 8.7847e-05 0.00803601
15.8 1.97824e-12 8.20872e-05 0.00797796 1.88655e-12 8.16826e-05 0.00790523
15.9 1.64075e-12 7.6316e-05 0.00784104 1.56419e-12 7.59367e-05 0.00777308
16 1.36074e-12 7.09377e-05 0.00770298 1.29681e-12 7.05821e-05 0.00763979
16.1 1.12842e-12 6.59265e-05 0.00756398 1.07505e-12 6.55932e-05 0.00750555
16.2 9.35697e-13 6.12583e-05 0.00742424 8.91146e-13 6.09461e-05 0.00737055
16.3 7.75828e-13 5.69108e-05 0.00728394 7.38644e-13 5.66184e-05 0.00723497
16.4 6.43225e-13 5.28626e-05 0.00714326 6.12193e-13 5.25888e-05 0.00709899
16.5 5.33247e-13 4.9094e-05 0.00700239 5.07353e-13 4.88377e-05 0.00696277
16.6 4.42041e-13 4.55863e-05 0.00686147 4.20435e-13 4.53465e-05 0.00682648
16.7 3.66407e-13 4.23222e-05 0.00672067 3.48383e-13 4.20978e-05 0.00669027
